group,ISO3
High income,ABW
High income,AND
High income,ARE
High income,ATG
High income,AUS
High income,AUT
High income,BEL
High income,BHR
High income,BHS
High income,BMU
High income,BRB
High income,BRN
High income,CAN
High income,CHE
High income,CHI
High income,CHL
High income,CUW
High income,CYM
High income,CYP
High income,CZE
High income,DEU
High income,DNK
High income,ESP
High income,EST
High income,FIN
High income,FRA
High income,FRO
High income,GBR
High income,GIB
High income,GRC
High income,GRL
High income,GUM
High income,HKG
High income,HRV
High income,HUN
High income,IMN
High income,IRL
High income,ISL
High income,ISR
High income,ITA
High income,JPN
High income,KNA
High income,KOR
High income,KWT
High income,LIE
High income,LTU
High income,LUX
High income,LVA
High income,MAC
High income,MAF
High income,MCO
High income,MLT
High income,MNP
High income,MUS
High income,NCL
High income,NLD
High income,NOR
High income,NRU
High income,NZL
High income,OMN
High income,PAN
High income,PLW
High income,POL
High income,PRI
High income,PRT
High income,PYF
High income,QAT
High income,ROU
High income,SAU
High income,SGP
High income,SMR
High income,SVK
High income,SVN
High income,SWE
High income,SXM
High income,SYC
High income,TCA
High income,TTO
High income,TWN
High income,URY
High income,USA
High income,VGB
High income,VIR

Upper middle income,WSM
Upper middle income,XKX
Upper middle income,ZAF
