"index","mae.mod","mse.mod","r2.mod","mae.sev","mse.sev","r2.sev"
1,0.0159425836142839,0.0159425836142839,0.991210850932272,0.00727202286752031,0.00727202286752031,0.993829228719278
2,0.0138090478580883,0.0138090478580883,0.993450064942519,0.00695600757226545,0.00695600757226545,0.993195509100023
3,0.0167408165305411,0.0167408165305411,0.993085659388353,0.00942585361616378,0.00942585361616378,0.990164527757223
4,0.0152505223011,0.0152505223011,0.992882565475918,0.00805981555953286,0.00805981555953286,0.992538659451653
5,0.0158525212969462,0.0158525212969462,0.99183212796797,0.0077601228991445,0.0077601228991445,0.99450623816374
6,0.0171203351514573,0.0171203351514573,0.989338561078713,0.00949195099864808,0.00949195099864808,0.988543326889044
7,0.0138687704006551,0.0138687704006551,0.994723197052043,0.00724538965136966,0.00724538965136966,0.994128497017493
8,0.0176884857134737,0.0176884857134737,0.987891368889392,0.00877579174010566,0.00877579174010566,0.980991373726338
9,0.0161278484864014,0.0161278484864014,0.993771964174,0.00871199259410974,0.00871199259410974,0.986282597366407
10,0.0168060179722636,0.0168060179722636,0.992413925293053,0.00869982462533327,0.00869982462533327,0.988576590594006
